column_name	column_value	description	HED
value	1111	Description for 1111	Label/1111
value	1112	Description for 1112	Label/1112
value	1121	Description for 1121	Label/1121
value	1122	Description for 1122	Label/1122
value	1211	Description for 1211	Label/1211
value	1212	Description for 1212	Label/1212
value	2221	Description for 2221	Label/2221
value	2222	Description for 2222	Label/2222
value	2241	Description for 2241	Label/2241
value	2242	Description for 2242	Label/2242
value	2251	Description for 2251	Label/2251
value	2252	Description for 2252	Label/2252
value	2421	Description for 2421	Label/2421
value	2422	Description for 2422	Label/2422
value	2441	Description for 2441	Label/2441
value	2442	Description for 2442	Label/2442
value	2621	Description for 2621	Label/2621
value	2622	Description for 2622	Label/2622
value	2711	Description for 2711	Label/2711
value	2712	Description for 2712	Label/2712
value	2811	Description for 2811	Label/2811
value	2812	Description for 2812	Label/2812
value	3111	Description for 3111	Label/3111
value	3112	Description for 3112	Label/3112
value	3200	Description for 3200	Label/3200
value	3210	Description for 3210	Label/3210
value	3220	Description for 3220	Label/3220
value	3230	Description for 3230	Label/3230
value	3240	Description for 3240	Label/3240
value	3310	Description for 3310	Label/3310
value	4210	Description for 4210	Label/4210
value	4220	Description for 4220	Label/4220
value	4230	Description for 4230	Label/4230
value	4311	Description for 4311	Label/4311
value	4312	Description for 4312	Label/4312
value	4411	Description for 4411	Label/4411
value	4421	Description for 4421	Label/4421
